typeName,time,materialtypeID,groupID,typeName,quantity
"Thermonuclear Trigger Unit",150,16673,429,"Fernite Carbide",31
"Thermonuclear Trigger Unit",150,16679,429,Fullerides,11
"Thermonuclear Trigger Unit",150,16682,429,"Hypersynaptic Fibers",1
"Crystalline Carbonide Armor Plate",25,16670,429,"Crystalline Carbonide",44
"Crystalline Carbonide Armor Plate",25,16678,429,"Sylramic Fibers",11
"Plasma Thruster",150,16673,429,"Fernite Carbide",13
"Plasma Thruster",150,16680,429,"Phenolic Composites",3
"Plasma Thruster",150,16683,429,Ferrogel,1
"Nanomechanical Microprocessor",75,16673,429,"Fernite Carbide",17
"Nanomechanical Microprocessor",75,16680,429,"Phenolic Composites",6
"Nanomechanical Microprocessor",75,16681,429,Nanotransistors,2
"Nanomechanical Microprocessor",75,33361,429,"Plasmonic Metamaterials",2
"Nuclear Pulse Generator",150,16673,429,"Fernite Carbide",22
"Nuclear Pulse Generator",150,16680,429,"Phenolic Composites",7
"Nuclear Pulse Generator",150,16681,429,Nanotransistors,2
"Scalar Capacitor Unit",150,16671,429,"Titanium Carbide",27
"Scalar Capacitor Unit",150,16679,429,Fullerides,11
"Scalar Capacitor Unit",150,16681,429,Nanotransistors,1
"Scalar Capacitor Unit",150,33362,429,"Nonlinear Metamaterials",2
"Titanium Diborite Armor Plate",25,16671,429,"Titanium Carbide",44
"Titanium Diborite Armor Plate",25,16678,429,"Sylramic Fibers",11
"Ion Thruster",150,16670,429,"Crystalline Carbonide",13
"Ion Thruster",150,16680,429,"Phenolic Composites",3
"Ion Thruster",150,16683,429,Ferrogel,1
"Nanoelectrical Microprocessor",75,16672,429,"Tungsten Carbide",17
"Nanoelectrical Microprocessor",75,16680,429,"Phenolic Composites",6
"Nanoelectrical Microprocessor",75,16681,429,Nanotransistors,2
"Nanoelectrical Microprocessor",75,33360,429,"Terahertz Metamaterials",2
"Fusion Reactor Unit",300,16670,429,"Crystalline Carbonide",9
"Fusion Reactor Unit",300,17317,429,"Fermionic Condensates",2
"Graviton Pulse Generator",150,16671,429,"Titanium Carbide",22
"Graviton Pulse Generator",150,16680,429,"Phenolic Composites",7
"Graviton Pulse Generator",150,16681,429,Nanotransistors,2
"Ladar Sensor Cluster",150,16673,429,"Fernite Carbide",22
"Ladar Sensor Cluster",150,16681,429,Nanotransistors,1
"Ladar Sensor Cluster",150,16682,429,"Hypersynaptic Fibers",2
"Tesseract Capacitor Unit",150,16672,429,"Tungsten Carbide",27
"Tesseract Capacitor Unit",150,16679,429,Fullerides,11
"Tesseract Capacitor Unit",150,16681,429,Nanotransistors,1
"Tesseract Capacitor Unit",150,33360,429,"Terahertz Metamaterials",2
"EM Pulse Generator",150,16672,429,"Tungsten Carbide",22
"EM Pulse Generator",150,16680,429,"Phenolic Composites",7
"EM Pulse Generator",150,16681,429,Nanotransistors,2
"Radar Sensor Cluster",150,16672,429,"Tungsten Carbide",22
"Radar Sensor Cluster",150,16681,429,Nanotransistors,1
"Radar Sensor Cluster",150,16682,429,"Hypersynaptic Fibers",2
"Oscillator Capacitor Unit",150,16670,429,"Crystalline Carbonide",27
"Oscillator Capacitor Unit",150,16679,429,Fullerides,11
"Oscillator Capacitor Unit",150,16681,429,Nanotransistors,1
"Oscillator Capacitor Unit",150,33359,429,"Photonic Metamaterials",2
"Antimatter Reactor Unit",300,16672,429,"Tungsten Carbide",9
"Antimatter Reactor Unit",300,17317,429,"Fermionic Condensates",2
"Plasma Pulse Generator",150,16670,429,"Crystalline Carbonide",22
"Plasma Pulse Generator",150,16680,429,"Phenolic Composites",7
"Plasma Pulse Generator",150,16681,429,Nanotransistors,2
"Gravimetric Sensor Cluster",150,16671,429,"Titanium Carbide",22
"Gravimetric Sensor Cluster",150,16681,429,Nanotransistors,1
"Gravimetric Sensor Cluster",150,16682,429,"Hypersynaptic Fibers",2
"Pulse Shield Emitter",150,16670,429,"Crystalline Carbonide",22
"Pulse Shield Emitter",150,16678,429,"Sylramic Fibers",9
"Pulse Shield Emitter",150,16683,429,Ferrogel,1
"Nuclear Reactor Unit",300,16673,429,"Fernite Carbide",9
"Nuclear Reactor Unit",300,17317,429,"Fermionic Condensates",2
"Particle Accelerator Unit",150,16670,429,"Crystalline Carbonide",31
"Particle Accelerator Unit",150,16679,429,Fullerides,11
"Particle Accelerator Unit",150,16682,429,"Hypersynaptic Fibers",1
"Magnetometric Sensor Cluster",150,16670,429,"Crystalline Carbonide",22
"Magnetometric Sensor Cluster",150,16681,429,Nanotransistors,1
