typeName,time,materialtypeid,groupID,typeName,quantity
"Small Shield Extender II",13800,20171,333,"Datacore - Hydromagnetic Physics",1
"Small Shield Extender II",13800,20414,333,"Datacore - Quantum Physics",1
"Shield Recharger II",30900,20171,333,"Datacore - Hydromagnetic Physics",2
"Shield Recharger II",30900,20414,333,"Datacore - Quantum Physics",2
"Small Shield Booster II",13800,20171,333,"Datacore - Hydromagnetic Physics",1
"Small Shield Booster II",13800,20414,333,"Datacore - Quantum Physics",1
"1MN Afterburner II",13800,20415,333,"Datacore - Molecular Engineering",1
"1MN Afterburner II",13800,20420,333,"Datacore - Rocket Science",1
"1MN Microwarpdrive II",13800,20415,333,"Datacore - Molecular Engineering",1
"1MN Microwarpdrive II",13800,20420,333,"Datacore - Rocket Science",1
"Warp Scrambler II",30900,20418,333,"Datacore - Electronic Engineering",2
"Warp Scrambler II",30900,20419,333,"Datacore - Graviton Physics",2
"Miner II",13800,20413,333,"Datacore - Laser Physics",2
"Miner II",13800,20424,333,"Datacore - Mechanical Engineering",2
"Gyrostabilizer II",13800,20418,333,"Datacore - Electronic Engineering",2
"Gyrostabilizer II",13800,20424,333,"Datacore - Mechanical Engineering",2
"Stasis Webifier II",30900,20418,333,"Datacore - Electronic Engineering",2
"Stasis Webifier II",30900,20419,333,"Datacore - Graviton Physics",2
"Small Armor Repairer II",13800,20416,333,"Datacore - Nanite Engineering",1
"Small Armor Repairer II",13800,20424,333,"Datacore - Mechanical Engineering",1
"Small Remote Capacitor Transmitter II",13800,20411,333,"Datacore - High Energy Physics",1
"Small Remote Capacitor Transmitter II",13800,20414,333,"Datacore - Quantum Physics",1
"EM Plating II",13800,20415,333,"Datacore - Molecular Engineering",1
"EM Plating II",13800,20416,333,"Datacore - Nanite Engineering",1
"Overdrive Injector System II",13800,20415,333,"Datacore - Molecular Engineering",1
"Overdrive Injector System II",13800,20416,333,"Datacore - Nanite Engineering",1
"Capacitor Flux Coil II",13800,20411,333,"Datacore - High Energy Physics",1
"Capacitor Flux Coil II",13800,20414,333,"Datacore - Quantum Physics",1
"Shield Flux Coil II",13800,20411,333,"Datacore - High Energy Physics",2
"Shield Flux Coil II",13800,20414,333,"Datacore - Quantum Physics",2
"Explosive Plating II",13800,20415,333,"Datacore - Molecular Engineering",1
"Explosive Plating II",13800,20416,333,"Datacore - Nanite Engineering",1
"Layered Plating II",13800,20415,333,"Datacore - Molecular Engineering",1
"Layered Plating II",13800,20416,333,"Datacore - Nanite Engineering",1
"Kinetic Plating II",13800,20415,333,"Datacore - Molecular Engineering",1
"Kinetic Plating II",13800,20416,333,"Datacore - Nanite Engineering",1
"Thermic Plating II",13800,20415,333,"Datacore - Molecular Engineering",1
"Thermic Plating II",13800,20416,333,"Datacore - Nanite Engineering",1
"Adaptive Nano Plating II",13800,20415,333,"Datacore - Molecular Engineering",1
"Adaptive Nano Plating II",13800,20416,333,"Datacore - Nanite Engineering",1
"Expanded Cargohold II",13800,20415,333,"Datacore - Molecular Engineering",2
"Expanded Cargohold II",13800,20416,333,"Datacore - Nanite Engineering",2
"Reinforced Bulkheads II",13800,20415,333,"Datacore - Molecular Engineering",1
"Reinforced Bulkheads II",13800,20416,333,"Datacore - Nanite Engineering",1
"Reactor Control Unit II",13800,20411,333,"Datacore - High Energy Physics",2
"Reactor Control Unit II",13800,20414,333,"Datacore - Quantum Physics",2
"Inertia Stabilizers II",13800,20415,333,"Datacore - Molecular Engineering",1
"Inertia Stabilizers II",13800,20416,333,"Datacore - Nanite Engineering",1
"Shield Power Relay II",13800,20411,333,"Datacore - High Energy Physics",2
"Shield Power Relay II",13800,20414,333,"Datacore - Quantum Physics",2
