typeName,time,materialtypeID,groupID,typeName,quantity
"Miner II",2340,38,18,Nocxium,31
"Miner II",2340,40,18,Megacyte,2
"Miner II",2340,3689,1034,"Mechanical Parts",6
"Miner II",2340,11399,18,Morphite,2
"Miner II",2340,11482,332,"R.A.M.- Energy Tech",2
"Miner II",2340,11541,334,"Photon Microprocessor",5
"Miner II",2340,11689,334,"Laser Focusing Crystals",2
"Small Shield Extender II",2340,3685,280,"Hydrogen Batteries",3
"Small Shield Extender II",2340,11399,18,Morphite,2
"Small Shield Extender II",2340,11484,332,"R.A.M.- Shield Tech",2
"Small Shield Extender II",2340,11558,334,"Sustained Shield Emitter",3
"Shield Recharger II",4680,3685,280,"Hydrogen Batteries",2
"Shield Recharger II",4680,9838,1034,Superconductors,3
"Shield Recharger II",4680,11399,18,Morphite,2
"Shield Recharger II",4680,11484,332,"R.A.M.- Shield Tech",2
"Small Shield Booster II",2340,9838,1034,Superconductors,2
"Small Shield Booster II",2340,11399,18,Morphite,2
"Small Shield Booster II",2340,11484,332,"R.A.M.- Shield Tech",2
"Small Shield Booster II",2340,11556,334,"Pulse Shield Emitter",3
"1MN Afterburner II",2340,11399,18,Morphite,2
"1MN Afterburner II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"1MN Afterburner II",2340,11530,334,"Plasma Thruster",3
"1MN Afterburner II",2340,11531,334,"Ion Thruster",15
"1MN Afterburner II",2340,11549,334,"Antimatter Reactor Unit",8
"1MN Microwarpdrive II",2340,11399,18,Morphite,17
"1MN Microwarpdrive II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"1MN Microwarpdrive II",2340,11530,334,"Plasma Thruster",24
"1MN Microwarpdrive II",2340,11531,334,"Ion Thruster",15
"1MN Microwarpdrive II",2340,11549,334,"Antimatter Reactor Unit",8
"Warp Scrambler II",4680,9840,1034,Transmitter,6
"Warp Scrambler II",4680,9842,1034,"Miniature Electronics",11
"Warp Scrambler II",4680,11399,18,Morphite,8
"Warp Scrambler II",4680,11483,332,"R.A.M.- Electronics",2
"Warp Scrambler II",4680,11534,334,"Gravimetric Sensor Cluster",3
"Warp Scrambler II",4680,11540,334,"Quantum Microprocessor",9
"Gyrostabilizer II",2340,3689,1034,"Mechanical Parts",6
"Gyrostabilizer II",2340,9842,1034,"Miniature Electronics",2
"Gyrostabilizer II",2340,11399,18,Morphite,8
"Gyrostabilizer II",2340,11483,332,"R.A.M.- Electronics",2
"Gyrostabilizer II",2340,11538,334,"Nanomechanical Microprocessor",8
"Stasis Webifier II",4680,9840,1034,Transmitter,9
"Stasis Webifier II",4680,9842,1034,"Miniature Electronics",6
"Stasis Webifier II",4680,11399,18,Morphite,8
"Stasis Webifier II",4680,11483,332,"R.A.M.- Electronics",2
"Stasis Webifier II",4680,11538,334,"Nanomechanical Microprocessor",3
"Small Armor Repairer II",2340,9848,1040,Robotics,2
"Small Armor Repairer II",2340,11399,18,Morphite,2
"Small Armor Repairer II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Small Armor Repairer II",2340,11539,334,"Nanoelectrical Microprocessor",2
"Small Remote Capacitor Transmitter II",2340,9838,1034,Superconductors,15
"Small Remote Capacitor Transmitter II",2340,11399,18,Morphite,5
"Small Remote Capacitor Transmitter II",2340,11482,332,"R.A.M.- Energy Tech",2
"Small Remote Capacitor Transmitter II",2340,11539,334,"Nanoelectrical Microprocessor",5
"Small Remote Capacitor Transmitter II",2340,11554,334,"Tesseract Capacitor Unit",8
"EM Plating II",2340,11399,18,Morphite,2
"EM Plating II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"EM Plating II",2340,11543,334,"Tungsten Carbide Armor Plate",2
"EM Plating II",2340,11544,334,"Titanium Diborite Armor Plate",2
"EM Plating II",2340,11545,334,"Crystalline Carbonide Armor Plate",3
"Overdrive Injector System II",2340,40,18,Megacyte,11
"Overdrive Injector System II",2340,3689,1034,"Mechanical Parts",2
"Overdrive Injector System II",2340,11399,18,Morphite,2
"Overdrive Injector System II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Overdrive Injector System II",2340,11530,334,"Plasma Thruster",5
"Capacitor Flux Coil II",2340,9838,1034,Superconductors,5
"Capacitor Flux Coil II",2340,11399,18,Morphite,2
"Capacitor Flux Coil II",2340,11482,332,"R.A.M.- Energy Tech",2
"Capacitor Flux Coil II",2340,11539,334,"Nanoelectrical Microprocessor",2
"Capacitor Flux Coil II",2340,11554,334,"Tesseract Capacitor Unit",5
"Shield Flux Coil II",2340,9838,1034,Superconductors,5
"Shield Flux Coil II",2340,11399,18,Morphite,2
"Shield Flux Coil II",2340,11482,332,"R.A.M.- Energy Tech",2
"Shield Flux Coil II",2340,11539,334,"Nanoelectrical Microprocessor",2
"Shield Flux Coil II",2340,11554,334,"Tesseract Capacitor Unit",5
"Explosive Plating II",2340,11399,18,Morphite,2
