baseid,basename,basebpid,basebpname,t2id,t2name,t2bpid,t2bpname,baseProb5,T2_runs,old_copytime,old_inventtime,old_buildtime,old_prodmod,new_copytime,new_inventtime
377,"Small Shield Extender I",1010,"Small Shield Extender I Blueprint",380,"Small Shield Extender II",1013,"Small Shield Extender II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
393,"Shield Recharger I",1026,"Shield Recharger I Blueprint",394,"Shield Recharger II",1027,"Shield Recharger II Blueprint",0.50400,10,9000.000000,9000,2500,500,1440,30900
399,"Small Shield Booster I",1032,"Small Shield Booster I Blueprint",400,"Small Shield Booster II",1033,"Small Shield Booster II Blueprint",0.50400,10,9000.000000,9000,3500,700,720,13800
439,"1MN Afterburner I",1072,"1MN Afterburner I Blueprint",438,"1MN Afterburner II",1071,"1MN Afterburner II Blueprint",0.50400,10,9000.000000,9000,5000,1000,720,13800
434,"1MN Microwarpdrive I",1067,"1MN Microwarpdrive I Blueprint",440,"1MN Microwarpdrive II",1073,"1MN Microwarpdrive II Blueprint",0.50400,10,9000.000000,9000,10000,2000,720,13800
447,"Warp Scrambler I",1079,"Warp Scrambler I Blueprint",448,"Warp Scrambler II",1080,"Warp Scrambler II Blueprint",0.50400,10,9000.000000,9000,10000,2000,1440,30900
483,"Miner I",785,"Miner I Blueprint",482,"Miner II",784,"Miner II Blueprint",0.50400,10,9000.000000,9000,6000,1200,720,13800
520,"Gyrostabilizer I",1096,"Gyrostabilizer I Blueprint",519,"Gyrostabilizer II",1095,"Gyrostabilizer II Blueprint",0.50400,10,9000.000000,9000,5000,1000,720,13800
526,"Stasis Webifier I",1102,"Stasis Webifier I Blueprint",527,"Stasis Webifier II",1103,"Stasis Webifier II Blueprint",0.50400,10,9000.000000,9000,9000,1800,1440,30900
523,"Small Armor Repairer I",1099,"Small Armor Repairer I Blueprint",1183,"Small Armor Repairer II",1184,"Small Armor Repairer II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
529,"Small Remote Capacitor Transmitter I",1105,"Small Remote Capacitor Transmitter I Blueprint",1190,"Small Remote Capacitor Transmitter II",1191,"Small Remote Capacitor Transmitter II Blueprint",0.50400,10,9000.000000,9000,6000,1200,720,13800
1197,"EM Plating I",1204,"EM Plating I Blueprint",1198,"EM Plating II",1205,"EM Plating II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
1244,"Overdrive Injector System I",1245,"Overdrive Injector System I Blueprint",1236,"Overdrive Injector System II",1237,"Overdrive Injector System II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
1246,"Capacitor Flux Coil I",1247,"Capacitor Flux Coil I Blueprint",1248,"Capacitor Flux Coil II",1249,"Capacitor Flux Coil II Blueprint",0.50400,10,9000.000000,9000,4000,800,720,13800
1254,"Shield Flux Coil I",1255,"Shield Flux Coil I Blueprint",1256,"Shield Flux Coil II",1257,"Shield Flux Coil II Blueprint",0.50400,10,9000.000000,9000,4000,800,720,13800
1264,"Explosive Plating I",1265,"Explosive Plating I Blueprint",1266,"Explosive Plating II",1267,"Explosive Plating II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
